MARBLE,,,,,,
SKU,Description,Size,Finish,Thickness,Price,Type
MX42T,CLASSICO 12X24 VEIN CUT FILLED HONED TRAVERTINE,12x24,Honed,"1/2"" (12mm)",$8.25,Tile
MX43T,CLASSICO 12X24 VEIN CUT FILLED POLISHED TRAVERTINE,12x24,Polished,"1/2"" (12mm)",$6.05,Tile
MX832T,CLASSICO 18X18 CHISELED FILLED HONED TRAVERTINE,18x18,Honed,"1/2"" (12mm)",$4.75,Tile
MX784T,CLASSICO 18X18 CROSS CUT FILLED HONED TRAVERTINE,18x18,Honed,"1/2"" (12mm)",$4.70,Tile
MX798T,CLASSICO 18X18 TUMBLED TRAVERTINE,18x18,Brushed,"1/2"" (12mm)",$5.25,Tile
MX788T,CLASSICO 18X18 VEIN CUT FILLED POLISHED TRAVERTINE,18x18,Polished,"1/2"" (12mm)",$6.00,Tile
MX53TC,CLASSICO 18X36 CROSS CUT FILLED HONED TRAVERTINE,18x36,Honed,"1/2"" (12mm)",$7.45,Tile
MX53T,CLASSICO 18X36 VEIN CUT FILLED HONED TRAVERTINE,18x36,Honed,"1/2"" (12mm)",$9.00,Tile
MX52T,CLASSICO 18X36 VEIN CUT UNFILLED HONED TRAVERTINE,18x36,Honed,"1/2"" (12mm)",$9.25,Tile
MX805T,CLASSICO 24X24 CROSS CUT FILLED HONED TRAVERTINE,24x24,Honed,"1/2"" (12mm)",$6.05,Tile
MX163T,CLASSICO 3X6 SUBWAY TUMBLED TRAVERTINE,3x6,Antique,"3/8"" (8.5mm)",$4.95,Subway tile
MX80T,CLASSICO 4X4 SQUARE TUMBLED TRAVERTINE,4x4,Antique,"3/8"" (8.5mm)",$2.25,Tile
MX84T,CLASSICO 6X6 SQUARE TUMBLED TRAVERTINE,6x6,Antique,"3/8"" (8.5mm)",$4.95,Tile
MX40T,CLASSICO 8X8 CHISELED EDGE PAVER TUMBLED TRAVERTINE,8x8,Antique,"1 1/4"" (31.7mm)",$3.50,Paver
MX100T,CLASSICO CROSS CUT TRAVERTINE FILLED HONED SLAB,Slab,Honed,"3/4"" (2cm)",$11.00,Slab
MX1T,CLASSICO TRAVERTINE POOL COPING 12X12 HONED TRAVERTINE,12x12,Honed,"3/8"" (8.5mm)",$9.50,Tile
MX-103T,CLASSICO VEIN CUT TRAVERTINE FILLED HONED SLAB,Slab,Honed,"3/4"" (2cm)",$13.20,Slab
MX59T,ITALIAN SILVER-ITALIAN VEIN CUT TRAVERTINE FILLED HONED SLAB,Slab,Honed,"3/4"" (2cm)",$19.80,Slab
MX817T,IVORY 12X12 CROSS CUT FILLED HONED TRAVERTINE,12x12,Honed,"3/8"" (8.5mm)",$5.75,Tile
MX873T,IVORY 12X12 VEIN CUT FILLED POLISHED TRAVERTINE,12x12,Honed,"3/8"" (8.5mm)",$5.50,Tile
MX819T,IVORY 12X24 CROSS CUT FILLED HONED TRAVERTINE,12x24,Honed,"1/2"" (12mm)",$5.50,Tile
MX50T,IVORY 12X24 VEIN CUT FILLED HONED TRAVERTINE,12x24,Honed,"1/2"" (12mm)",$6.60,Tile
MX51T,IVORY 12X24 VEIN CUT FILLED POLISHED TRAVERTINE,12x24,Polished,"1/2"" (12mm)",$6.25,Tile
MX844T,IVORY 18X18 CHISELED FILLED HONED TRAVERTINE,18x18,Honed,"1/2"" (12mm)",$5.50,Tile
MX814T,IVORY 18X18 CROSS CUT FILLED HONED TRAVERTINE,18x18,Honed,"1/2"" (12mm)",$5.80,Tile
MX826T,IVORY 18X18 CROSS CUT POLISHED FILLED TRAVERTINE,18x18,Polish,"1/2"" (12mm)",$5.80,Tile
MX845T,IVORY 18X18 VEIN CUT FILLED POLISHED TRAVERTINE,18X18,Honed,"1/2"" (12mm)",$5.50,Tile
MX849T,IVORY 18X36 VEIN CUT UNFILLED HONED TRAVERTINE,18x36,Honed,"1/2"" (12mm)",$8.00,Tile
MX812T,IVORY 24X24 CROSS CUT FILLED HONED TRAVERTINE,24x24,Honed,"1/2"" (12mm)",$6.90,Tile
MX167T,IVORY 3X6 SUBWAY TUMBLED TRAVERTINE,3x6,Antique,"3/8"" (8.5mm)",$4.50,Subway tile
MX144T,IVORY 4X4 SQUARE TUMBLED TRAVERTINE,4x4,Antique,"3/8"" (8.5mm)",$2.25,Tile
