CODE,STOCK NAME,FINISH,PRICE PER SQ.FT,PRICE PER BOX/SLAB,SQ.FT PER BOX,PIECES PER BOX,COLLECTION,THICKNESS
MXCER-118,Century Desert Porcelain Paver 20x40,R11,$3.00,$16.26,5.42,1,Two 20 Mm Series/Century (Fincibec),20mm
MXCER-119,Century Grey Porcelain Paver 20x40,R11,$3.00,$16.26,5.42,1,Two 20 Mm Series/Century (Fincibec),20mm
MXRON-132,Vibe Bone Glossy Wall Tile 2x8,Glossy,$6.00,$30.96,5.16,50,Vibe Series / Rondine,9.5mm
MXRON-130,Vibe Ocean Blue Glossy Wall Tile 2x8,Glossy,$6.00,$30.96,5.16,50,Vibe Series / Rondine,9.5mm
MXRON-131,Vibe Sea Water Glossy Wall Tile 2x8,Glossy,$6.00,$30.96,5.16,50,Vibe Series / Rondine,9.5mm
MXRON-134,Vibe Tuscan Clay Glossy Wall Tile 2x8,Glossy,$6.00,$30.96,5.16,50,Vibe Series / Rondine,9.5mm
MXRON-133,Vibe Forest Green Glossy Wall Tile 2x8,Glossy,$6.00,$30.96,5.16,50,Vibe Series / Rondine,9.5mm
MXRON-135,Vibe Artic Snow Glossy Wall Tile 2x8,Glossy,$6.00,$30.96,5.16,50,Vibe Series / Rondine,9.5mm
MXCER-176,Victoria Almond Porcelain Tile 24x24,Matte,$2.50,$29.03,11.61,3,Victoria Series/Bottega,8.5mm
MXCER-181,Victoria Almond Hexagon Porcelain Mosaic 3.6x3.6,Matte,$16.00,$104.80,6.55,6,Victoria Series/Bottega,8.5mm
MXCER-177,Victoria Beige Porcelain Tile 24x24,Matte,$2.50,$29.03,11.61,3,Victoria Series/Bottega,8.5mm
MXCER-182,Victoria Beige Hexagon Porcelain Mosaic 3.6x3.6,Matte,$16.00,$104.80,6.55,6,Victoria Series/Bottega,8.5mm
MXCER-183,Victoria Charcoal Hexagon Porcelain Mosaic 3.6x3.6,Matte,$16.00,$104.80,6.55,6,Victoria Series/Bottega,8.5mm
MXCER-178,Victoria Charcoal Porcelain Tile 24x24,Matte,$2.50,$29.03,11.61,3,Victoria Series/Bottega,8.5mm
MXCER-179,Victoria Turtledove Porcelain Tile 24x24,Matte,$2.50,$29.03,11.61,3,Victoria Series/Bottega,8.5mm
MXCER-184,Victoria Turtledove Hexagon Porcelain Mosaic 3.6x3.6,Matte,$16.00,$104.80,6.55,6,Victoria Series/Bottega,8.5mm
