vendor,product_name,collection,variant_name,product_color,conflicting_url_color,asset_type,url
Arizona Tile,Mayflower Red,Quarry Metro,"6x6, Ironspot",red,gray,alternate,https://arizonatile.widen.net/content/azo5ekwd4h/webp/57XA-Pantry_Puritan_Gray.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Skywalk Carrara Black,Skywalk,"11-3/4x11-1/4, Polished",black,blue,alternate,https://arizonatile.widen.net/content/ybaiunulaz/webp/Skywalk-Carrara-Blue.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Skywalk Carrara Blue,Skywalk,"11-3/4x11-1/4, Polished",blue,black,alternate,https://arizonatile.widen.net/content/de31fzf7kp/webp/Skywalk-Carrara-Black.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Spark White,Spark,"3x12, Matte",white,ivory,alternate,https://arizonatile.widen.net/content/4nxft5lus3/webp/Spark-Ivory-Glossy-Hex-12.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Spark White,Spark,"Hex, Glossy",white,ivory,alternate,https://arizonatile.widen.net/content/4nxft5lus3/webp/Spark-Ivory-Glossy-Hex-12.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Spark White,Spark,"Hex, Glossy",white,ivory,alternate,https://arizonatile.widen.net/content/ukykuaxpdb/webp/Amb03_CMYK_IVORY-MATT.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Spark White,Spark,"Hex, Glossy",white,ivory,primary,https://arizonatile.widen.net/content/4nxft5lus3/webp/Spark-Ivory-Glossy-Hex-12.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Spark White,Spark,"Hex, Matte",white,ivory,alternate,https://arizonatile.widen.net/content/4nxft5lus3/webp/Spark-Ivory-Glossy-Hex-12.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Spark White,Spark,"Picket, Glossy",white,ivory,primary,https://arizonatile.widen.net/content/4nxft5lus3/webp/Spark-Ivory-Glossy-Hex-12.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Spark White,Spark,"Picket, Matte",white,ivory,lifestyle,https://arizonatile.widen.net/content/4nxft5lus3/webp/Spark-Ivory-Glossy-Hex-12.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Spark Bars,Ivory,ivory,white,alternate,https://arizonatile.widen.net/content/zvmnjmvrbk/webp/Spark-Bars_WHITE-MATTE.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,White,Spark Bars,White,white,ivory,alternate,https://arizonatile.widen.net/content/lhu4evfaob/webp/Spark-Bars_IVORY-MATTE.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Silver,Splitface,"4xRandom, Splitface",silver,ivory,alternate,https://arizonatile.widen.net/content/7laeqiy2n0/webp/IVORY_4XFREE_LENGTH_ID.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Black,Trapez,"4-1/4x9-3/4 Trapezoid, Glossy",black,sand,alternate,https://arizonatile.widen.net/content/dpz6sbvin6/webp/Trapez-Sand_Gesso_Ardesia-Panel.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Cream,Trapez,"4-1/4x9-3/4 Trapezoid, Glossy",cream,black,alternate,https://arizonatile.widen.net/content/cbwumo49bq/webp/Trapez_Amb05_black_cmyk.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Cream,Trapez,"4-1/4x9-3/4 Trapezoid, Glossy",cream,black,alternate,https://arizonatile.widen.net/content/iyfbkgrzi3/webp/Trapez_Amb02_taupe_black_cmyk.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Cream,Trapez,"4-1/4x9-3/4 Trapezoid, Glossy",cream,taupe,alternate,https://arizonatile.widen.net/content/acg3l2bc9y/webp/Trapez_Amb07_taupe_cmyk.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Cream,Trapez,"4-1/4x9-3/4 Trapezoid, Glossy",cream,taupe,alternate,https://arizonatile.widen.net/content/iyfbkgrzi3/webp/Trapez_Amb02_taupe_black_cmyk.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Taupe,Trapez,"4-1/4x9-3/4 Trapezoid, Glossy",taupe,cream,alternate,https://arizonatile.widen.net/content/hlq72guvrf/webp/Trapez_Amb06_cream_cmyk.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Taupe,Trapez,"4-1/4x9-3/4 Trapezoid, Glossy",taupe,sand,alternate,https://arizonatile.widen.net/content/dpz6sbvin6/webp/Trapez-Sand_Gesso_Ardesia-Panel.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Taupe,Trapez,"4-1/4x9-3/4 Trapezoid, Glossy",taupe,sand,alternate,https://arizonatile.widen.net/content/ftqfguot2s/webp/Trapez-Sand-Panel.webp?w=540&h=540&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Taupe,Trapez,"4-1/4x9-3/4 Trapezoid, Glossy",taupe,sand,primary,https://arizonatile.widen.net/content/ftqfguot2s/webp/Trapez-Sand-Panel.webp?w=540&h=540&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,White,Trapez,"4-1/4x9-3/4 Trapezoid, Glossy",white,sand,alternate,https://arizonatile.widen.net/content/dpz6sbvin6/webp/Trapez-Sand_Gesso_Ardesia-Panel.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,White,Trapez,"4-1/4x9-3/4 Trapezoid, Glossy",white,sand,primary,https://arizonatile.widen.net/content/dpz6sbvin6/webp/Trapez-Sand_Gesso_Ardesia-Panel.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
